0.161 0.146  -0.284 0.204
0.546 -0.170  -0.606 0.416
0.305 -0.193  -0.586 0.534
0.199 0.164  -0.270 0.245
0.330 -0.235  -0.650 0.247
0.632 -0.161  -0.577 0.509
0.344 -0.204  -0.621 0.261
0.511 0.005  -0.411 0.476
0.219 -0.054  -0.476 0.222
0.316 -0.235  -0.649 0.236
0.515 0.005  -0.416 0.474
0.307 -0.055  -0.477 0.285
0.469 -0.236  -0.652 0.336
0.075 -0.186  -0.620 0.107
0.394 0.094  -0.308 0.402
0.262 0.052  -0.368 0.278
0.129 0.018  -0.413 0.167
0.641 0.017  -0.391 0.623
0.621 -0.026  -0.430 0.577
0.502 0.051  -0.357 0.500
0.469 -0.236  -0.657 0.324
0.341 0.166  -0.245 0.365
0.528 0.071  -0.322 0.525
0.471 -0.064  -0.492 0.402
0.422 0.026  -0.374 0.414
0.565 -0.078  -0.502 0.479
0.265 0.066  -0.365 0.281
0.163 0.173  -0.259 0.189
0.118 -0.224  -0.640 0.124
0.440 -0.118  -0.526 0.360
0.595 0.008  -0.385 0.560
0.460 -0.002  -0.422 0.408
0.614 -0.235  -0.653 0.442
0.106 -0.020  -0.474 0.141
0.508 -0.086  -0.491 0.443
0.313 -0.117  -0.528 0.276
0.446 -0.083  -0.492 0.374
0.365 -0.040  -0.460 0.328
0.591 0.067  -0.324 0.580
0.221 -0.141  -0.561 0.204
0.604 -0.273  -0.690 0.416
0.104 -0.275  -0.701 0.114
0.336 -0.038  -0.460 0.299
0.551 0.014  -0.399 0.522
0.250 -0.183  -0.597 0.215
0.561 0.133  -0.261 0.578
0.183 0.097  -0.348 0.209
0.653 0.160  -0.245 0.704
0.184 0.000  -0.442 0.198
0.681 -0.028  -0.442 0.627
0.063 0.018  -0.419 0.123
0.376 -0.225  -0.637 0.285
0.110 0.095  -0.344 0.163
0.367 0.012  -0.394 0.339
0.538 -0.114  -0.514 0.442
0.383 0.071  -0.353 0.364
0.537 -0.264  -0.670 0.382
0.472 0.005  -0.410 0.454
0.635 -0.276  -0.715 0.433
0.390 -0.115  -0.537 0.331
0.580 -0.153  -0.561 0.472
0.302 0.193  -0.218 0.339
-0.087 0.314  -0.170 0.008
0.390 0.265  -0.133 0.463
0.365 0.186  -0.218 0.422
0.038 0.311  -0.150 0.118
0.238 0.143  -0.290 0.262
-0.008 0.275  -0.190 0.080
-0.025 0.275  -0.195 0.072
0.183 0.267  -0.156 0.242
0.038 0.275  -0.175 0.127
-0.012 0.101  -0.368 0.081
0.037 0.311  -0.152 0.133
-0.034 0.195  -0.267 0.071
0.055 0.268  -0.178 0.135
-0.023 0.112  -0.370 0.064
0.273 0.103  -0.333 0.295
-0.071 0.390  -0.092 0.028
0.067 0.311  -0.126 0.153
0.483 0.195  -0.187 0.555
0.515 0.265  -0.089 0.604
0.115 0.067  -0.371 0.176
0.390 0.193  -0.210 0.457
0.126 0.348  -0.081 0.213
0.238 0.193  -0.216 0.296
0.038 0.270  -0.175 0.114
0.094 0.322  -0.121 0.176
0.471 0.109  -0.291 0.509
0.449 0.104  -0.304 0.489
0.459 0.106  -0.305 0.489
0.449 0.106  -0.298 0.468
0.051 0.186  -0.267 0.140
0.161 0.153  -0.290 0.212
-0.094 0.235  -0.261 0.017
0.040 0.390  -0.074 0.123
0.434 0.018  -0.383 0.423
0.321 0.310  -0.109 0.377
0.129 0.112  -0.314 0.198
0.485 0.104  -0.302 0.525
0.359 0.071  -0.341 0.379
0.477 0.112  -0.298 0.494
0.156 0.229  -0.218 0.219
0.107 0.296  -0.160 0.178
0.006 0.069  -0.396 0.089
0.391 0.109  -0.282 0.426
0.130 0.256  -0.195 0.189
0.408 0.192  -0.195 0.462
-0.029 0.195  -0.288 0.066
0.198 0.072  -0.364 0.230
0.212 0.314  -0.084 0.279
0.428 0.152  -0.236 0.457
0.448 0.232  -0.170 0.514
0.167 0.152  -0.276 0.213
0.114 0.112  -0.337 0.172
0.442 0.232  -0.158 0.494
0.299 0.232  -0.158 0.356
0.043 0.106  -0.370 0.114
0.081 0.230  -0.212 0.160
0.124 0.268  -0.184 0.184
-0.015 0.193  -0.262 0.066
0.472 0.230  -0.135 0.535
0.410 0.112  -0.273 0.449
0.186 0.229  -0.209 0.253
-0.006 0.351  -0.127 0.089
0.144 0.310  -0.109 0.230
0.383 0.071  -0.328 0.416
0.173 0.104  -0.333 0.230
0.430 0.270  -0.109 0.520
0.189 0.310  -0.097 0.256
0.003 0.193  -0.272 0.092
0.029 0.268  -0.193 0.115
0.391 0.233  -0.147 0.456
0.126 0.348  -0.064 0.218
0.086 0.267  -0.173 0.167
0.431 0.152  -0.233 0.479
0.377 0.230  -0.173 0.448
0.437 0.193  -0.199 0.503
0.377 0.146  -0.256 0.428
0.006 0.195  -0.287 0.081
0.173 0.351  -0.060 0.249
-0.035 0.112  -0.371 0.066
0.354 0.311  -0.075 0.445
0.123 0.235  -0.209 0.199
0.360 0.112  -0.281 0.399
0.051 0.268  -0.181 0.137
0.190 0.305  -0.097 0.273
0.143 0.265  -0.178 0.209
-0.044 0.196  -0.270 0.054
0.489 0.268  -0.087 0.592
0.199 0.316  -0.087 0.258
0.276 0.267  -0.127 0.351
-0.048 0.351  -0.127 0.048
0.219 0.060  -0.380 0.253
-0.032 0.350  -0.115 0.064
-0.035 0.311  -0.170 0.064
0.143 0.071  -0.380 0.192
-0.015 0.084  -0.380 0.066
0.273 0.114  -0.305 0.301
0.210 0.072  -0.365 0.247
0.063 0.278  -0.170 0.138
0.273 0.233  -0.161 0.344
0.334 0.267  -0.144 0.405
0.287 0.164  -0.236 0.327
0.054 0.233  -0.216 0.137
0.037 0.195  -0.256 0.115
0.436 0.270  -0.110 0.518
0.124 0.230  -0.190 0.202
0.005 0.275  -0.184 0.103
0.095 0.071  -0.365 0.152
0.383 0.186  -0.224 0.433
0.130 0.351  -0.058 0.210
0.311 0.124  -0.278 0.347
0.489 0.270  -0.124 0.554
0.319 0.310  -0.097 0.403
0.160 0.348  -0.061 0.239
0.273 0.101  -0.325 0.301
0.448 0.195  -0.192 0.497
0.448 0.112  -0.278 0.491
0.273 0.195  -0.212 0.331
0.132 0.229  -0.212 0.187
0.397 0.072  -0.339 0.420
0.330 0.072  -0.357 0.347
0.336 0.195  -0.207 0.399
0.345 0.028  -0.383 0.348
0.367 0.152  -0.245 0.397
0.334 0.152  -0.245 0.385
0.423 0.071  -0.336 0.430
0.360 0.195  -0.199 0.413
0.337 0.270  -0.150 0.413
-0.067 0.348  -0.132 0.035
0.299 0.110  -0.287 0.345
-0.006 0.273  -0.175 0.081
0.348 0.310  -0.101 0.439
0.222 0.310  -0.103 0.281
0.459 0.268  -0.103 0.543
0.371 0.204  -0.187 0.419
0.430 0.311  -0.080 0.520
0.127 0.275  -0.146 0.210
-0.084 0.356  -0.114 0.021
0.175 0.304  -0.114 0.258
-0.008 0.204  -0.253 0.081
0.276 0.272  -0.135 0.348
0.140 0.110  -0.325 0.204
0.353 0.311  -0.074 0.443
0.202 0.141  -0.290 0.247
0.091 0.350  -0.083 0.183
0.396 0.316  -0.057 0.476
-0.029 0.267  -0.221 0.071
0.517 0.186  -0.202 0.574
0.224 0.295  -0.130 0.293
0.456 0.067  -0.347 0.466
-0.041 0.193  -0.272 0.049
0.364 0.124  -0.272 0.413
0.242 0.072  -0.345 0.272
-0.069 0.227  -0.276 0.025
0.322 0.193  -0.206 0.374
0.196 0.184  -0.207 0.591
0.153 0.311  -0.115 0.224
0.423 0.310  -0.064 0.503
0.072 0.110  -0.350 0.140
-0.089 0.356  -0.140 0.018
0.430 0.025  -0.367 0.428
-0.037 0.397  -0.061 0.057
0.353 0.110  -0.301 0.393
0.360 0.195  -0.190 0.414
0.453 0.044  -0.353 0.471
0.256 0.193  -0.238 0.296
-0.037 0.153  -0.336 0.049
0.430 0.195  -0.198 0.495
0.124 0.215  -0.232 0.195
-0.014 0.270  -0.218 0.072
0.075 0.124  -0.311 0.153
0.176 0.153  -0.287 0.229
0.436 0.270  -0.130 0.520
0.270 0.232  -0.183 0.336
0.408 0.109  -0.279 0.443
0.459 0.029  -0.383 0.445
0.207 0.141  -0.288 0.249
0.255 0.225  -0.207 0.308
-0.086 0.273  -0.202 0.017
-0.014 0.109  -0.348 0.071
0.032 0.256  -0.209 0.124
0.318 0.348  -0.064 0.403
0.407 0.311  -0.051 0.491
0.255 0.060  -0.374 0.278
0.449 0.071  -0.333 0.476
0.127 0.311  -0.127 0.213
0.261 0.110  -0.318 0.304
-0.026 0.311  -0.163 0.061
0.391 0.026  -0.394 0.376
0.302 0.069  -0.357 0.316
0.508 0.270  -0.087 0.607
0.365 0.235  -0.175 0.416
0.164 0.143  -0.301 0.209
0.268 0.270  -0.147 0.331
0.261 0.152  -0.267 0.299
0.233 0.071  -0.336 0.284
0.138 0.196  -0.244 0.213
0.446 0.071  -0.322 0.472
0.132 0.351  -0.095 0.215
0.423 0.308  -0.071 0.514
0.285 0.061  -0.364 0.310
0.207 0.311  -0.123 0.276
0.158 0.232  -0.181 0.219
0.396 0.083  -0.314 0.434
-0.029 0.153  -0.305 0.069
0.172 0.225  -0.202 0.225
0.129 0.232  -0.221 0.201
0.127 0.232  -0.216 0.207
-0.097 0.195  -0.288 0.015
0.472 0.029  -0.370 0.483
0.230 0.308  -0.117 0.310
-0.077 0.350  -0.137 0.029
-0.041 0.350  -0.132 0.049
0.238 0.112  -0.316 0.268
0.044 0.268  -0.178 0.140
0.396 0.103  -0.310 0.428
0.179 0.351  -0.081 0.256
0.426 0.232  -0.164 0.503
0.127 0.350  -0.083 0.213
0.477 0.028  -0.387 0.486
0.341 0.106  -0.311 0.373
0.100 0.072  -0.371 0.150
0.239 0.351  -0.055 0.307
0.181 0.072  -0.360 0.212
0.242 0.351  -0.066 0.302
0.236 0.025  -0.391 0.252
0.420 0.146  -0.265 0.471
0.321 0.272  -0.144 0.383
0.250 0.152  -0.267 0.299
-0.028 0.391  -0.058 0.074
-0.006 0.193  -0.284 0.075
0.170 0.112  -0.327 0.209
-0.041 0.275  -0.189 0.051
0.107 0.193  -0.235 0.166
0.477 0.072  -0.313 0.491
0.250 0.143  -0.279 0.302
0.296 0.230  -0.183 0.364
0.365 0.230  -0.179 0.419
-0.089 0.193  -0.299 0.015
0.183 0.316  -0.091 0.249
0.029 0.310  -0.144 0.121
0.100 0.350  -0.071 0.189
0.351 0.186  -0.221 0.410
0.006 0.153  -0.308 0.084
0.399 0.230  -0.144 0.480
0.003 0.350  -0.097 0.084
0.141 0.310  -0.112 0.229
0.201 0.310  -0.121 0.272
0.497 0.072  -0.330 0.509
0.118 0.264  -0.170 0.206
-0.075 0.230  -0.268 0.029
0.471 0.104  -0.302 0.497
0.081 0.351  -0.097 0.163
0.408 0.152  -0.242 0.463
0.261 0.310  -0.104 0.342
0.140 0.308  -0.121 0.227
0.390 0.310  -0.086 0.477
0.413 0.043  -0.360 0.433
0.006 0.144  -0.318 0.089
0.044 0.351  -0.100 0.133
0.434 0.112  -0.278 0.471
0.330 0.186  -0.225 0.377
0.448 0.232  -0.169 0.531
0.364 0.112  -0.290 0.394
0.376 0.112  -0.296 0.405
0.048 0.112  -0.350 0.123
0.187 0.184  -0.235 0.259
-0.035 0.270  -0.219 0.052
0.242 0.316  -0.081 0.321
0.075 0.270  -0.204 0.138
0.124 0.276  -0.161 0.195
0.403 0.348  -0.061 0.489
0.460 0.233  -0.141 0.538
0.156 0.222  -0.242 0.215
0.193 0.184  -0.278 0.235
0.272 0.350  -0.086 0.327
0.071 0.388  -0.061 0.155
0.348 0.112  -0.308 0.379
0.252 0.195  -0.229 0.293
0.448 0.308  -0.069 0.541
0.322 0.311  -0.094 0.373
0.048 0.195  -0.279 0.121
0.443 0.186  -0.241 0.480
0.531 0.232  -0.178 0.592
0.407 0.155  -0.258 0.423
0.230 0.270  -0.176 0.276
0.426 0.308  -0.101 0.502
0.144 0.308  -0.126 0.219
0.158 0.152  -0.293 0.212
0.120 0.348  -0.094 0.187
0.110 0.308  -0.146 0.186
0.313 0.348  -0.083 0.385
0.239 0.348  -0.083 0.301
0.322 0.307  -0.126 0.390
0.319 0.348  -0.072 0.371
0.281 0.308  -0.112 0.348
0.218 0.083  -0.365 0.236
0.268 0.195  -0.244 0.305
0.331 0.229  -0.212 0.376
0.330 0.103  -0.350 0.357
0.334 0.186  -0.255 0.370
0.324 0.272  -0.146 0.376
0.399 0.307  -0.106 0.457
0.006 0.141  -0.360 0.087
0.046 0.351  -0.121 0.121
0.238 0.195  -0.256 0.284
0.364 0.310  -0.115 0.436
0.244 0.350  -0.086 0.311
0.324 0.193  -0.224 0.347
0.453 0.072  -0.351 0.460
0.486 0.193  -0.195 0.517
0.367 0.193  -0.235 0.399
0.367 0.114  -0.310 0.385
0.290 0.311  -0.124 0.353
0.262 0.310  -0.146 0.304
0.184 0.224  -0.196 0.560
0.417 0.272  -0.161 0.456
-0.078 0.272  -0.244 0.014
0.150 0.347  -0.100 0.218
0.179 0.143  -0.291 0.523
0.230 0.267  -0.189 0.285
0.364 0.350  -0.078 0.431
-0.055 0.390  -0.114 0.015
0.124 0.416  -0.046 0.192
0.393 0.107  -0.310 0.385
0.072 0.112  -0.360 0.123
0.350 0.072  -0.357 0.364
0.186 0.229  -0.244 0.225
-0.075 0.186  -0.347 0.020
0.118 0.322  -0.129 0.193
0.354 0.110  -0.318 0.364
0.460 0.153  -0.258 0.488
0.009 0.431  -0.057 0.080
-0.015 0.275  -0.227 0.057
0.354 0.376  -0.046 0.417
0.008 0.190  -0.301 0.084
0.009 0.126  -0.364 0.083
0.393 0.084  -0.339 0.410
0.086 0.233  -0.253 0.155
0.235 0.275  -0.163 0.268
0.367 0.265  -0.141 0.405
0.006 0.183  -0.324 0.086
0.354 0.126  -0.302 0.371
0.186 0.232  -0.186 0.589
-0.002 0.391  -0.114 0.071
0.479 0.267  -0.138 0.540
0.038 0.233  -0.265 0.097
0.276 0.267  -0.153 0.336
0.364 0.071  -0.373 0.351
0.083 0.310  -0.172 0.137
0.431 0.071  -0.347 0.430
0.319 0.155  -0.284 0.345
0.419 0.072  -0.373 0.417
0.293 0.112  -0.341 0.310
0.367 0.229  -0.190 0.410
0.160 0.104  -0.325 0.500
0.264 0.362  -0.060 0.318
0.407 0.071  -0.371 0.380
0.407 0.072  -0.371 0.391
0.089 0.144  -0.347 0.132
0.078 0.267  -0.215 0.140
0.397 0.141  -0.290 0.416
0.008 0.431  -0.067 0.077
0.101 0.295  -0.189 0.163
-0.066 0.390  -0.118 0.009
0.443 0.267  -0.150 0.492
0.379 0.110  -0.314 0.387
0.190 0.350  -0.095 0.239
0.419 0.311  -0.110 0.471
0.362 0.153  -0.293 0.377
0.442 0.192  -0.224 0.482
0.051 0.399  -0.061 0.129
0.255 0.373  -0.072 0.310
0.331 0.189  -0.233 0.362
0.155 0.084  -0.376 0.195
0.360 0.350  -0.080 0.434
0.275 0.235  -0.224 0.308
0.238 0.235  -0.196 0.291
0.336 0.308  -0.112 0.391
-0.067 0.350  -0.161 0.026
0.087 0.166  -0.310 0.146
0.503 0.272  -0.126 0.548
0.044 0.229  -0.267 0.114
0.149 0.267  -0.196 0.209
0.431 0.071  -0.351 0.428
0.232 0.270  -0.186 0.270
0.038 0.192  -0.291 0.094
0.313 0.313  -0.110 0.356
0.365 0.310  -0.110 0.403
0.360 0.308  -0.098 0.411
0.407 0.235  -0.193 0.439
0.275 0.233  -0.198 0.318
-0.064 0.233  -0.305 0.015
0.430 0.152  -0.282 0.454
0.186 0.229  -0.170 0.568
0.380 0.112  -0.328 0.400
0.410 0.192  -0.232 0.442
0.170 0.106  -0.314 0.500
0.298 0.308  -0.110 0.360
-0.038 0.314  -0.190 0.040
0.250 0.192  -0.241 0.299
0.083 0.255  -0.236 0.155
0.508 0.192  -0.236 0.537
0.048 0.359  -0.114 0.112
0.069 0.310  -0.161 0.129
-0.044 0.193  -0.325 0.034
0.169 0.359  -0.092 0.224
0.008 0.153  -0.360 0.071
0.229 0.195  -0.253 0.256
0.373 0.229  -0.206 0.414
0.267 0.370  -0.048 0.331
0.241 0.233  -0.206 0.268
0.097 0.233  -0.241 0.163
0.431 0.311  -0.106 0.492
0.244 0.193  -0.273 0.272
0.334 0.153  -0.293 0.365
0.178 0.351  -0.114 0.250
0.029 0.112  -0.382 0.086
0.066 0.359  -0.107 0.132
0.044 0.143  -0.362 0.109
-0.003 0.272  -0.218 0.081
0.423 0.067  -0.371 0.426
0.460 0.268  -0.130 0.529
-0.069 0.222  -0.307 0.012
0.032 0.391  -0.080 0.118
-0.087 0.431  -0.080 0.008
0.167 0.348  -0.100 0.219
0.336 0.192  -0.233 0.336
0.195 0.112  -0.348 0.209
0.252 0.153  -0.288 0.273
0.410 0.195  -0.235 0.448
0.451 0.072  -0.347 0.451
-0.026 0.313  -0.202 0.058
0.176 0.265  -0.196 0.216
0.054 0.388  -0.080 0.127
-0.078 0.267  -0.264 0.009
0.341 0.348  -0.081 0.393
0.230 0.192  -0.241 0.276
0.199 0.155  -0.299 0.224
0.281 0.272  -0.173 0.330
0.002 0.390  -0.100 0.081
0.026 0.267  -0.238 0.092
0.236 0.318  -0.127 0.285
0.293 0.103  -0.364 0.304
0.330 0.061  -0.402 0.314
0.100 0.295  -0.192 0.167
0.353 0.232  -0.210 0.396
0.106 0.152  -0.324 0.155
0.393 0.155  -0.284 0.411
-0.046 0.334  -0.183 0.034
0.000 0.387  -0.094 0.084
-0.054 0.356  -0.141 0.040
0.436 0.314  -0.072 0.508
0.091 0.347  -0.115 0.163
0.313 0.275  -0.146 0.370
0.008 0.267  -0.225 0.081
0.479 0.181  -0.212 0.534
0.213 0.072  -0.380 0.241
0.158 0.391  -0.063 0.235
0.219 0.348  -0.089 0.276
0.186 0.235  -0.156 0.571
0.100 0.255  -0.229 0.153
0.241 0.293  -0.155 0.288
0.430 0.209  -0.170 0.486
-0.028 0.235  -0.207 0.060
-0.018 0.308  -0.146 0.054
0.423 0.152  -0.222 0.451
0.080 0.114  -0.325 0.135
0.275 0.195  -0.178 0.322
0.097 0.310  -0.097 0.169
0.264 0.150  -0.256 0.298
0.373 -0.014  -0.400 0.354
0.459 0.064  -0.337 0.454
0.491 0.232  -0.133 0.531
0.199 0.311  -0.084 0.256
-0.029 0.067  -0.383 0.044
-0.003 0.350  -0.071 0.071
0.348 0.305  -0.078 0.410
0.046 0.232  -0.196 0.117
0.275 0.028  -0.374 0.287
0.046 0.153  -0.293 0.097
0.407 0.146  -0.239 0.431
0.012 0.114  -0.327 0.084
0.169 0.029  -0.396 0.196
0.241 0.103  -0.316 0.256
0.192 0.215  -0.209 0.236
0.249 0.310  -0.083 0.281
0.091 0.327  -0.071 0.144
0.356 0.308  -0.064 0.407
0.198 0.110  -0.296 0.218
0.137 0.273  -0.127 0.204
0.241 0.189  -0.221 0.273
0.293 0.273  -0.127 0.342
0.239 0.152  -0.270 0.255
0.137 0.272  -0.133 0.190
0.430 0.307  -0.072 0.505
0.449 0.103  -0.293 0.462
0.374 0.074  -0.328 0.364
0.417 0.227  -0.166 0.454
0.457 0.155  -0.219 0.466
0.497 0.193  -0.190 0.537
0.385 0.031  -0.367 0.383
-0.091 0.186  -0.282 0.009
0.229 0.233  -0.179 0.281
0.345 0.114  -0.291 0.354
0.115 0.107  -0.325 0.163
0.031 0.074  -0.364 0.097
-0.008 0.196  -0.239 0.066
0.313 0.114  -0.265 0.339
0.410 0.031  -0.365 0.379
0.442 0.029  -0.368 0.436
0.120 0.184  -0.249 0.161
-0.044 0.278  -0.164 0.040
0.472 0.110  -0.268 0.486
0.360 0.072  -0.305 0.364
0.227 0.310  -0.083 0.270
0.201 0.301  -0.094 0.250
-0.054 0.276  -0.175 0.032
0.311 0.152  -0.239 0.337
0.321 0.232  -0.149 0.359
0.419 0.015  -0.385 0.388
0.399 0.146  -0.247 0.420
0.377 0.311  -0.061 0.413
0.377 0.041  -0.347 0.368
-0.028 0.155  -0.291 0.055
0.360 0.272  -0.092 0.426
0.112 0.275  -0.144 0.161
0.472 0.141  -0.252 0.506
0.362 0.195  -0.183 0.419
0.138 0.276  -0.109 0.215
-0.043 0.304  -0.137 0.040
0.407 0.193  -0.170 0.439
0.187 0.155  -0.270 0.229
0.183 0.031  -0.385 0.202
0.288 0.155  -0.255 0.307
0.008 0.229  -0.224 0.083
0.252 0.074  -0.348 0.268
0.408 0.227  -0.143 0.448
-0.040 0.187  -0.282 0.038
0.316 0.032  -0.371 0.313
0.201 0.072  -0.337 0.233
0.365 0.072  -0.337 0.380
0.140 0.311  -0.095 0.195
0.002 0.112  -0.330 0.060
0.390 0.184  -0.209 0.414
-0.029 0.196  -0.245 0.046
0.373 0.114  -0.290 0.388
0.169 0.144  -0.285 0.216
-0.005 0.276  -0.175 0.077
0.121 0.072  -0.348 0.163
0.006 0.311  -0.130 0.087
0.422 0.189  -0.175 0.457
0.360 0.265  -0.103 0.425
0.290 0.273  -0.118 0.357
0.087 0.149  -0.278 0.135
0.275 0.109  -0.314 0.282
0.405 0.031  -0.368 0.388
0.224 0.155  -0.262 0.256
0.138 0.311  -0.114 0.202
0.161 0.031  -0.388 0.190
0.130 0.311  -0.107 0.202
0.077 0.109  -0.336 0.121
0.172 0.227  -0.172 0.213
0.244 0.114  -0.302 0.267
-0.069 0.308  -0.167 0.023
0.472 0.272  -0.098 0.531
0.124 0.066  -0.373 0.156
0.273 0.273  -0.127 0.318
0.364 0.069  -0.339 0.354
0.362 0.310  -0.057 0.428
0.298 0.302  -0.077 0.359
0.089 0.357  -0.046 0.146
0.129 0.232  -0.196 0.190
0.273 0.321  -0.058 0.345
-0.071 0.357  -0.083 0.017
0.472 0.028  -0.373 0.454
0.209 0.272  -0.124 0.252
0.160 0.302  -0.126 0.218
0.224 0.262  -0.126 0.273
0.298 0.069  -0.328 0.305
0.293 0.031  -0.368 0.293
0.179 0.322  -0.075 0.236
0.426 0.023  -0.368 0.419
0.273 0.195  -0.195 0.308
0.227 0.155  -0.256 0.255
0.143 0.227  -0.173 0.195
0.436 0.186  -0.201 0.485
0.038 0.351  -0.081 0.109
0.267 0.149  -0.256 0.284
0.466 0.117  -0.267 0.488
-0.040 0.390  -0.071 0.044
0.351 0.060  -0.362 0.348
0.003 0.072  -0.388 0.077
-0.041 0.273  -0.189 0.034
-0.044 0.265  -0.215 0.028
0.242 0.186  -0.202 0.287
-0.069 0.158  -0.318 0.020
0.517 0.233  -0.123 0.558
0.341 0.083  -0.304 0.353
0.117 0.273  -0.153 0.184
0.517 0.147  -0.232 0.535
0.405 0.158  -0.239 0.416
0.097 0.031  -0.394 0.132
0.236 0.029  -0.373 0.247
0.322 0.311  -0.081 0.373
0.311 0.112  -0.291 0.336
0.479 0.276  -0.081 0.535
0.321 0.028  -0.379 0.305
0.405 0.195  -0.187 0.439
0.209 0.074  -0.351 0.224
0.377 0.075  -0.341 0.371
0.127 0.104  -0.334 0.170
0.509 0.273  -0.078 0.583
0.124 0.304  -0.110 0.187
-0.041 0.233  -0.218 0.048
0.081 0.060  -0.380 0.120
0.379 0.311  -0.077 0.439
0.250 0.304  -0.110 0.296
-0.087 0.195  -0.278 0.014
0.238 0.281  -0.115 0.288
0.449 0.109  -0.278 0.466
0.190 0.115  -0.298 0.209
0.000 0.114  -0.337 0.058
0.207 0.074  -0.347 0.241
0.397 0.074  -0.337 0.399
0.169 0.114  -0.314 0.195
0.423 0.311  -0.063 0.500
0.410 0.081  -0.310 0.416
0.002 0.114  -0.351 0.061
0.469 0.272  -0.110 0.518
0.357 0.184  -0.199 0.391
-0.035 0.112  -0.347 0.040
0.032 0.043  -0.397 0.101
0.321 0.275  -0.115 0.387
0.048 0.067  -0.371 0.100
0.075 0.129  -0.305 0.138
0.084 0.350  -0.081 0.150
-0.040 0.345  -0.100 0.040
0.091 0.348  -0.091 0.160
0.178 0.061  -0.379 0.210
0.380 0.029  -0.376 0.370
0.230 0.273  -0.123 0.281
0.216 0.138  -0.290 0.235
0.410 0.048  -0.348 0.416
0.046 0.196  -0.235 0.120
0.431 -0.012  -0.397 0.399
0.275 0.233  -0.178 0.302
0.344 0.072  -0.337 0.347
0.238 0.273  -0.117 0.282
0.431 0.160  -0.233 0.439
-0.028 0.193  -0.273 0.055
-0.026 0.155  -0.304 0.048
-0.086 0.225  -0.258 0.017
0.138 0.296  -0.138 0.202
-0.054 0.348  -0.127 0.038
0.101 0.348  -0.063 0.166
-0.012 0.348  -0.109 0.064
0.121 0.308  -0.109 0.192
0.469 0.184  -0.207 0.499
-0.032 0.311  -0.144 0.035
0.360 0.305  -0.077 0.430
0.491 0.152  -0.233 0.508
0.038 0.195  -0.242 0.097
0.144 0.074  -0.348 0.175
0.342 0.143  -0.259 0.370
0.491 0.233  -0.156 0.532
0.249 0.166  -0.229 0.270
0.416 0.074  -0.324 0.419
0.410 0.273  -0.121 0.479
0.416 0.221  -0.156 0.457
0.322 0.272  -0.130 0.374
0.051 0.189  -0.256 0.118
0.250 0.273  -0.115 0.299
0.175 0.075  -0.344 0.195
0.282 0.166  -0.229 0.308
-0.058 0.276  -0.173 0.023
0.101 0.193  -0.232 0.155
0.423 0.311  -0.069 0.492
0.195 0.109  -0.308 0.209
-0.026 0.201  -0.247 0.061
-0.012 0.074  -0.373 0.061
0.282 0.195  -0.210 0.325
0.322 0.276  -0.104 0.368
0.410 0.193  -0.175 0.430
0.038 0.350  -0.080 0.114
0.167 0.345  -0.067 0.224
-0.006 0.305  -0.146 0.069
0.130 0.152  -0.281 0.172
0.143 0.350  -0.058 0.195
0.301 0.190  -0.221 0.322
0.130 0.265  -0.169 0.190
0.321 0.193  -0.183 0.360
0.331 0.311  -0.071 0.394
-0.067 0.302  -0.163 0.015
0.268 0.152  -0.239 0.302
0.325 0.235  -0.149 0.373
0.135 0.314  -0.115 0.212
0.066 0.106  -0.347 0.115
0.342 0.029  -0.394 0.339
0.396 0.233  -0.137 0.459
0.365 0.233  -0.156 0.414
0.407 0.195  -0.195 0.437
0.410 0.195  -0.195 0.437
0.371 0.273  -0.104 0.428
0.313 0.273  -0.104 0.360
0.229 0.189  -0.207 0.261
0.281 0.305  -0.078 0.301
0.281 0.265  -0.112 0.295
0.115 0.044  -0.385 0.156
0.227 0.275  -0.138 0.281
0.127 0.324  -0.081 0.187
0.038 0.066  -0.365 0.097
0.322 0.163  -0.238 0.362
0.132 0.109  -0.327 0.179
0.219 0.275  -0.129 0.281
0.330 0.121  -0.278 0.330
0.423 0.313  -0.061 0.488
0.092 0.314  -0.095 0.129
0.383 0.227  -0.135 0.436
-0.071 0.275  -0.183 0.017
-0.003 0.152  -0.328 0.066
0.160 0.193  -0.232 0.204
0.178 0.229  -0.189 0.224
0.350 0.314  -0.072 0.417
0.430 0.005  -0.396 0.396
-0.071 0.195  -0.273 0.015
0.196 0.195  -0.229 0.230
0.353 0.184  -0.219 0.374
0.261 0.273  -0.115 0.310
0.379 0.305  -0.094 0.446
0.318 0.221  -0.183 0.350
-0.063 0.374  -0.087 0.029
0.219 0.302  -0.126 0.258
0.365 0.152  -0.242 0.403
0.009 0.124  -0.318 0.084
0.273 0.063  -0.367 0.282
0.278 0.230  -0.176 0.310
0.048 0.350  -0.067 0.110
0.431 0.106  -0.293 0.440
0.341 0.035  -0.371 0.336
0.219 0.186  -0.239 0.258
-0.031 0.265  -0.192 0.055
0.472 0.144  -0.261 0.511
-0.067 0.275  -0.195 0.009
0.253 0.201  -0.218 0.287
0.376 0.083  -0.304 0.370
0.319 0.275  -0.115 0.380
0.207 0.265  -0.130 0.249
0.345 0.067  -0.331 0.360
-0.029 0.276  -0.169 0.052
0.322 0.112  -0.287 0.353
0.489 0.233  -0.153 0.558
0.172 0.276  -0.146 0.230
0.038 0.304  -0.146 0.101
